Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1954-1861,1855-03-06,46,71,N/A,Tuesday 6. Wrote to Varnhagen and Magnus. Went to the Neue Museum and saw the Egyptian collection and the Hall of Northern Antiquities - looked again at the Treppenhaus and then feasted on the sculptures of the Parthenon. Dined at Meinhardt 's. In the evening went to the Gruppes and said good bye to them.
Diary 1954-1861,1855-03-07,47,72,N/A,"Wednesday 7. Walked to the Wilhelm Stadt and ascertained when we could see the Wagner'sche and Ravené'sche galleries. Then to Graf Raczinsky's gallery again. Called on the Dessoirs, dined at Meinhardt's and in the evening went to see Das Glas Wasser, a version of Scribe's ""Un verre d'eau""."
Diary 1954-1861,1855-03-08,47,72,N/A,"Thursday 8. Went to the Wagner Gallery; a collection of pictures by modern German artists. The only things that interested us at all were: a group of fishermen, one of whom is recounting to a fisherman's wife the story of her husband's wreck, by Jordan, an infant Christ by Hübner, a landscape by Lessing, a slave merchant with his human wares by Horace Vernet, St. Catherine carried
to her grave by Angels by Miicke, and some clever Wilkie-like pictures by
Hasenclever, one of them a news-room lighted with gas with readers
surrounding a table. From thence we went to the Old Museum and looked at the Sculpture. It is interesting to see the statue of Napoleon who worked so much woe to Prussia placed opposite that ofJulius Cæsar. We saw a beautiful Hebe of Canova's for the first time. Went into the picture gallery to have a parting look at
Titian's daughter and the Correggios. Came home and packed the books. Read Macaulay. Walked out and afterwards translated and wrote for G."
Diary 1954-1861,1855-03-09,47,72,N/A,"Friday 9. Went to see the Ravene pictures- a small collection , chiefly
landscapes, in elegant rooms. In the evening went to Fraulein Solmar's. G. read Shylock. Varnhagen, Frau von Olfers, Graf and Gräfin York, Baron Pödlitz etc."
Diary 1954-1861,1855-03-10,47,72,N/A,"Saturday 10. Packed and went to the Neue Museum. Before we went, Magnus called and brought us two lithographs of his paintings. Took a farewell of hearty friendliness."
Diary 1954-1861,1855-03-[11],47,72,N/A,"Sunday. Set off in snow to Cologne. Travelling companions Madame Roger and her daughter and a queen's messenger, a very agreeable man. Spent the Night at Cologne."
Diary 1954-1861,1855-03-[12],47,72,N/A,"Monday. From Cologne to Brussels - Hotel de Saxe, where we saw Berlioz. Travelling companions, two French artists coming from Russia."
Diary 1954-1861,1855-03-[13],47,72,N/A,"Tuesday. From Brussels to Dover, Lord Warden Hotel."
Diary 1954-1861,,,,N/A,
Diary 1954-1861,Section 3: England,,,N/A,
Diary 1954-1861,1855-03-14,54,79,N/A,"Wednesday 14. Took Lodgings 1, Sydney Place."
Diary 1954-1861,1855-03-15,54,79,N/A,"Thursday. 15. A lovely day. As I walked up the Castle hill this afternoon the
town with its background of softly rounded hills shrouded in sleepy haze, its little lines of water looking golden in the sun, made a charming picture. I have written the Preface to the third Book ofEthics, read Scherr and Shakspeare's Venus and Adonis."
Diary 1954-1861,1855-03-16,54,79,N/A,"Friday 16. A still lovelier day. A brisk wind carried about great masses of cloud below an arch of clear blue. I read Shakspeare's ""Passionate Pilgrim"" at breakfast and found a sonnet in which he expresses admiration of Spenser ( Sonnet VIII)
""Douland to thee is dear, whose heavenly touch
Upon the lute doth ravish human sense:
Spenser to me, whose deep conceit is such,
As passing all conceit needs no defence.""
I must send word of this to G. who has written in his Goethe that Shakspeare has left no line in praise ofa contemporary. [insertelda ter:(G . writes that this sonnet is Barnwell's )) I could not resist the temptation of walking out before I sat down to work. Came in at 1/2 past 10 and translated Spinoza till nearly 1. Walked out again till 2. After dinner read ""Two Gentlemen ofVerona"" and some of the ""Sonnets"". That play disgusted me more than ever in the final scene where Valentine on Proteus' mere begging pardon where he has no longer any hope of gaining his ends, says: ""All that was mine in Silvia I give thee""! -Silvia standing by. Walked up the Castle hill again and came in at 6. Read Scherr and found an important hint that I have made a mistake in a sentence of my article on Austria about the death of Franz von Sickingen. Wrote to Sara Rennell and to Miss Parkes."
Diary 1954-1861,1855-03-17,54,79,N/A,Saturday 17. Received a letter from G. and the proof of the second part of my article. Corrected the latter and carried it to the post. Wrote to G. The weather cloudy and in the afternoon rainy. Read Shakspeare's sonnets and part of Tempest. Walked up the hill. Read Scherr.
Diary 1954-1861,1855-03-18,54,79,N/A,"Sunday 18. A very boisterous day, but with intervals, ofbright sunshine in one
of which there was a beautiful rainbow. Read Scherr. Translated Spinoza. In the evening wrote."
Diary 1954-1861,1855-03-19,54,79,N/A,"Monday. 19. Read Scherr, translated Spinoza and walked before dinner. After dinner read Scherr again and was prevented from going out by rain. In the evening wrote Recollections of Berlin. A little cold in my head made me stupid."
Diary 1954-1861,1855-03-20,54-55,79-80,N/A,"Tuesday 20. Letter from G. and Leader. A very mild morning. Walked on the beach. Wrote Recollections and a note to G. Read Leader and Scherr. Walking out this afternoon along the beach I saw a sea fog come in with amazing rapidity-a thick cloud seemed to gather on the cliff in a moment. Had a letter from
Rosehill. Wrote a note to Mr. Chapman."
Diary 1954-1861,1855-03-21,55,80,N/A,"Wed. 21. A cold windy day, and I, having a cold, did not venture to go out. Read Scherr and translated Spinoza. After dinner read the ""Tempest"" and Scherr again. In the evening wrote Recollections ofBerlin."
Diary 1954-1861,1855-03-22,55,80,N/A,"Thursday 22. The weather still terrible and I not well. Read Scherr, wrote Spinoza. Read Macbeth. In the evening wrote."
Diary 1954-1861,1855-03-23,55,80,N/A,Friday 23. Snow. Very poorly. Finished Scherr. Read Macbeth again. Walked out a little and on returning found a letter from G. Read Nibelungenlied. Wrote a little.
Diary 1954-1861,1855-03-24,55,80,N/A,Saturday 24. My head too weak for work. Read Shakspeare. Wrote to G. and carried the letter to the post. Read Romeo and Juliet.
Diary 1954-1861,1855-03-25,55,80,N/A,Sunday 25. The Leader from G. and a note from Mr. Chapman in which he asks me to undertake part of the Contemporary Literature for the W.R. Had a delightful walk over the hills. Read the Leader and the Nibelungen Lied. Wrote till 10.
Diary 1954-1861,1855-03-26,55,80,N/A,Monday. 26. Began Scherr again. Revised Spinoza. Read Romeo and Juliet and the Nibelungen Lied. Sewed and wrote.
Diary 1954-1861,1855-03-27,55,80,N/A,Thursday [Tuesday] 27. Letter from G. Wrote to him. Revised Spinoza. Read Athenaeum. Walked on the hill. Read Nibelungen and revised Spinoza.
Diary 1954-1861,1855-03-28,55,80,N/A,Wednesday 28. Began work but became very bilious and obliged to give it up. Terrible headache in the evening.
Diary 1954-1861,1855-03-[29],55,80,N/A,Thursday. In bed till 4 o'clock. Got up and read for an hour or two then to bed again.
Diary 1954-1861,1855-03-30,55,80,N/A,"Friday 30. Better this morning. Wrote letters to G., to sister and Mr. Chapman. Read Scherr and Nibelungen Lied."
Diary 1954-1861,1855-03-31,55,80,N/A,Saturday 31. Revised Spinoza. Finished Nibelungen Lied. In the evening wrote a couple of pages of Spinoza.
Diary 1954-1861,1855-04-01,55,80,N/A,"Sunday April 1. Received Westminster Review and a letter from G. Wrote to him and then walked over the hills, not being well enough to work. Read article on Dryden in W.R. and looked through the Contemporary Literature."
Diary 1954-1861,1855-04-02,55,80,N/A,Monday 2. Read Scherr. Translated Spinoza and in the evening revised it.
Diary 1954-1861,1855-04-03,55,80,N/A,Tuesday 3. Letter from G. and parcel of books. Letter from sister. Translated and revised Spinoza. Read Leader.
Diary 1954-1861,1855-04-[04],55,80,N/A,Wednesday. Read Scherr on the Ritterlich-romantische Literatur. Translated Spinoza. Read Athena:um and article in W.R. Too headachy to revise Spinoza. Read Scherr and wrote to Mr. Bray and Chrissey.
Diary 1954-1861,1855-04-05,56,81,N/A,"Thursday 5. Began Reineke Fuchs. Wrote to G. Translated Spinoza. In the evening revised it, and read Scherr."
Diary 1954-1861,1855-04-06,56,81,N/A,Friday. 6. Letter from Mr. Chapman. Began Schrader's German Mythology. In the evening revised Spinoza and read Gibbon.
Diary 1954-1861,1855-04-07,56,81,N/A,"Saturday 7. Wrote Spinoza and a letter to G. enclosing Mr. C.'s. Read Schrader, Reineke Fuchs. Genesis of Science."
Diary 1954-1861,1855-04-08,56,81,N/A,"Sunday 8. Read Schrader. Spinoza. Leader and Athenaeum. ""Genesis of
Science."" Gibbon."
Diary 1954-1861,1855-04-[09],56,81,N/A,"Monday. Painful letter which upset me for work. Walked out and then
translated 2 pages of Spinoza. Read Henry V. In the evening translated again."
Diary 1954-1861,1855-04-10,56,81,N/A,Tuesday. 10. Read Schrader. Translated Spinoza. Walked feeling much depression against which I struggled hard. Read Henry V and Henry VIII. Wrote to Mr. Chapman. Revised Spinoza.
Diary 1954-1861,1855-04-11,56,81,N/A,Wednesday 11. Read Schrader. Finished Book III of Spinoza's Ethics. Read Henry VIII. Revised Spinoza in the evening. Letter from Rosehill.
Diary 1954-1861,1855-04-[12]; 1855-04-[13]; 1855-04-[14],56,81,N/A,"Thursday, Friday and Saturday. Still feverish and unable to fix my mind
steadily on reading or writing. Read the 1st, 2nd and 3 parts ofHenry VI, and began Richard 2. Finished Herbert Spencer's ""Genesis of Science"". Friday and Saturday, wrote a little at my article on Weimar for Frazer (sic]. Finished Schrader - a poor book."
Diary 1954-1861,1855-04-18,56,81,N/A,"Wednesday 18. Came to town, to lodgings in Bayswater."
Diary 1954-1861,1855-04-23,56,81,N/A,Monday 23. Fixed on our lodgings at East Sheen.
Diary 1954-1861,1855-04-25,56,81,N/A,Wednesday 25. Went to the British Museum.
Diary 1954-1861,1855-04-28,56,81,N/A,Saturday 28. Finished article on Weimar for Fraser.
Diary 1954-1861,1855-05-02,56,81,N/A,Wednesday. May 2. Came to East Sheen and settled in our lodgings.
Diary 1954-1861,1855-05-09,56,81,N/A,Wed. May 9. Finished article on Kingsley.
Diary 1954-1861,1855-05-28,56,81,N/A,Monday 28. Sent Belles Lettres Section to Mr. Chapman.
Diary 1954-1861,1855-06-09,56,81,N/A,"Saturday June 9. Sent article on Liszt, Wagner and Weimar to Fraser."
Diary 1954-1861,1855-06-12,56,81,N/A,Tuesday 12. Sent article on Menander for the Leader.
Diary 1954-1861,1855-06-13,56,81,N/A,"Wednesday 13. Began Part IV of Spinoza's Ethics. Began also to read Cumming for article in Westminster. We are reading in the evenings now, Sydney Smith's letters, Boswell, Whewell's History of lnductive Sciences, the Odyssey and
occasionally Heine's Reisebilder. I began the second Book of the Iliad in Greek this morning."
Diary 1954-1861,1855-06-21,56,81,N/A,Thursday 21. Finished article on Brougham's Lives of Men of Letters.
Diary 1954-1861,1855-06-[22]; 1855-06-[23],57,82,N/A,"Friday and Saturday. Headache. Read Lucrezia Floriani. We are reading White's History of Selborne in the evening, with Boswell and the Odyssey."
Diary 1954-1861,1855-06-24,57,82,N/A,Sunday 24. Mr. Chapman dined with us.
Diary 1954-1861,1855-07-08,57,82,N/A,Sunday July 8. G. ill. I also took cold on the Monday and the week was lost to both of us. Tuesday Mr. Bray came to see us. (Wilhelm Meister and Article on Gruppe for the Leader.)
Diary 1954-1861,1855-08-01,57,82,N/A,Aug.1. G. only just beginning to enjoy life again after being ill for three weeks with a second gathering in his face. - Article on Milton for Leader.
Diary 1954-1861,1855-08-08,57,82,N/A,8. G. went to Ramsgate for a week.
Diary 1954-1861,1855-08-22,57,82,N/A,Aug. 22. Wrote article on Saint Marc Girardin for Leader.
Diary 1954-1861,1855-08-24,57,82,N/A,24. Finished article on Cumming for Westminster.
Diary 1954-1861,1855-08-30,57,82,N/A,Aug. 30. Article on Heine for Leader.
Diary 1954-1861,1855-09-13,57,82,N/A,Sep. 13. Article on Michelet for Leader. We are reading Wallenstein and Schwann in the evenings.
Diary 1954-1861,1855-09-15,57,82,N/A,Sep. 15. Finished article on Belles Lettres for the Westminster.
Diary 1954-1861,1855-09-17,57,82,N/A,17. Wrote article on German Mythology and Legend for Leader.
Diary 1954-1861,1855-09-19,57,82,N/A,19. Left East Sheen and came to Worthing. Took lodgings at 21 Steyne. The weather bright and warm.
Diary 1954-1861,1855-09-20,57,82,N/A,20. Both miserably bilious and headachy.
Diary 1954-1861,1855-09-21,57,82,N/A,21. Only a little better.
Diary 1954-1861,1855-09-22,57,82,N/A,Sat. 22. Well this morning and bathed. The day divine.
Diary 1954-1861,1855-09-23,57,82,N/A,Sun. 23. Long walk on the beach; but not a mollusc to be seen!
Diary 1954-1861,1855-09-30,57,82,N/A,Sun. 30. A resolutely wet day.
Diary 1954-1861,1855-10-01,57,82,N/A,Mon. Oct 1. Once more gloriously fine and mild.
Diary 1954-1861,1855-10-03,57,82,N/A,"Wed. 3. Came to Richmond 8, Park Shot."
Diary 1954-1861,1855-10-09,57,82,N/A,Tues. 9. Wrote article on Margaret Fuller and Mary Wollstonecraft.
Diary 1954-1861,1855-10-12,57,82,N/A,Frid. 12. Received a letter from Mr. Chapman asking me to write an article on Heine for the January No. of the Westminster. Article on Carlyle for Leader.
Diary 1954-1861,1855-10-[13]; 1855-10-[14],57,82,N/A,Sat. and Sun. Finished Part IV of Spinoza's Ethics.
Diary 1954-1861,1855-10-15,57,82,N/A,"Monday Oct. 15. Wrote part of article on ""Translations and Translators"" for Leader. Wrote to Mr. Bray."
Diary 1954-1861,1855-10-16,57,82,N/A,"Tuesday 16. Finished article. Wrote to Miss Rennell. We are reading Gall's
Anatomie et Physiologie du Cerveau in the evening, with, occasionally,C arpenter's Comparative Physiology. ""The Newcomes"" as light fare after dinner."
Diary 1954-1861,1855-10-[17]; 1855-10-[19],58,83,N/A,Wed. Friday. Reading Heine.
Diary 1954-1861,1855-11-01,58,83,N/A,Nov 1. The Goethe out. Article on it for Leader.
Diary 1954-1861,1855-11-13,58,83,N/A,13. Letter from M. D'Albert. Article on Heine half done.
Diary 1954-1861,1855-11-14,58,83,N/A,"14. Renewed a wretched cold which I have had for a week so that work is disagreeable. We have been reading Longfellow's Hiawatha, and are continuing Carpenter."
Diary 1954-1861,1855-11-28,58,83,N/A,28. Finished article on Heine. Began to read Charles Lamb after dinner.
Diary 1954-1861,1855-12-12,58,83,N/A,Dec. 12. Finished and sent off article on Belles Lettres.
Diary 1954-1861,1855-12-24,58,83,N/A,"Dec. 24. For the last ten days I have done little owing to headache and other ailments. On the 19th I wrote a poor notice of Rachel Gray for the Leader. Began the Antigone, read Von Bohlen on Genesis, and Swedenborg. Mr. Chapman wants me to write an article on Missions and Missionaries for April No. of the Westminster, but I think I shall not have it ready till the July No. - In the afternoon I set out on my journey to see my sister, and arrived at her house about 8 o'clock, finding her and her children well."
Diary 1954-1861,1855-12-29,58,83,N/A,"Saturday 29. Returned to Richmond. G. away at Vernon Hill, having gone thither on Wednesday."
Diary 1954-1861,1855-12-30,58,83,N/A,Sunday 30. Read the Shaving of Shagpat.
Diary 1954-1861,1855-12-31,58,83,N/A,"31. Wrote a review of Shagpat and sent it to Leader.
Work done in 1855
Article for Westminster on Austria
Articles on Weimar for Frazer
Belles Lettres for W. R. July No
Article on Dr. Cumming
Belles Lettres for Oct.
Article on Heine
Belles Lettres for Jan.
Articles for Leader
£. s. d.
20. 0.0
14.-1-4.0
12.12.0
15. 0.0
12.12.0
20. 0.0
12.12.0
12.12.0
£119. 8.o"
Diary 1954-1861,1856-01-01,58,83,N/A,"Jan 1. 1856. Read Kingsley's ""Greek Heroes"" and began review of Von Bohlen for the Leader."
Diary 1954-1861,1856-01-05,58,83,N/A,5. G. came home.
Diary 1954-1861,1856-01-06,58,83,N/A,"6. Began to revise Book IV ofSpinoza's Ethics, and continued this work
through the week, being able to work but slowly. Finished Kahnis' History of
German Protestantism."
Diary 1954-1861,1856-01-16,58,83,N/A,"16. Received a charming letter from Barbara Smith, with a petition to Parliament that women may have a right to their earnings."
Diary 1954-1861,1856-02-19,59,84,N/A,"Feb. 19. Since the 6 January I have been occupied with Spinoza and, except a review of Griswold's American Poets, have done nothing else but translate the Fifth Book of the Ethics and revise the whole of my translation from the beginning. This evening I have finished my revision."
Diary 1954-1861,1856-03-17,59,84,N/A,"Mar. 17. Sent off my article on Belles Lettres. I have resigned the subject of ""Missions"" to Harriet Martineau."
Diary 1954-1861,1856-03-21,59,84,N/A,"21. Finished article on ""Torso"" for the 'Saturday'."
Diary 1954-1861,1856-03-24,59,84,N/A,24. Finished article on Henry Murger for ditto.
Diary 1954-1861,1856-03-25,59,84,N/A,25. Began article on the Antigone.
Diary 1954-1861,1856-03-28,59,84,N/A,28. Article on Gieseler.
Diary 1954-1861,1856-04-05,59,84,N/A,April 5. Mr. Chapman has accepted my proposition to write an article on Young.
Diary 1954-1861,1856-04-07; 1856-04-08,59,84,N/A,"Ap. 7, 8. Wrote a story from Leon Gozlan, intended for the ""Saturday""."
Diary 1954-1861,1856-04-09; 1856-04-10,59,84,N/A,"9, 10. Article on Vehse's Memoirs of the Court of Austria for ""Leader""."
Diary 1954-1861,1856-04-12,59,84,N/A,12. Article on Heine's Book of Songs for Saturday.
Diary 1954-1861,1856-04-13; 1856-04-14,59,84,N/A,"13, 14. Article on Waverley Novels- pamphlet by W.J.F."
Diary 1954-1861,1856-04-15,59,84,N/A,15. Herbert Spencer dined with us.
Diary 1954-1861,1856-04-18,59,84,N/A,18. Went to Sydenham with H.S.
Diary 1954-1861,1856-04-22,59,84,N/A,22. Began article on Young.
Diary 1954-1861,1856-04-26,59,84,N/A,26. Article on Margaret Fuller's letters.
Diary 1954-1861,1856-04-29,59,84,N/A,"29. Began to read Riehl, on which I am to write an article for the Westminster."
Diary 1954-1861,1856-05-08,59-60,84-85,N/A,"May 8. Set off in very cold weather for Ilfracomb [sic]. Staid an hour at Windsor on our way, and walked round the Castle. Reached Bristol about half past six and having two hours to stay before starting for Exeter, we walked through the
narrow dirty streets to St. Mary Redcliff, the old church where Chatterton pretended to have found the Rowley MS. It is a remarkably fine old church. After looking at this we walked some distance along the road by the side of the river, but being both headachy, we were soon glad to turn back to the station and wait in the rather dirty room there till the Express set offfor Exeter. We reached the Exeter Station (which is about a mile from the town), at ten, and were delighted to find a comfortable bedroom there, which saved our going to the town. We breakfasted at half past eight, and then strolled out in glorious sunshine to look at the town and Cathedral. A pretty, quiet road led us very soon to the upper part of the town - by handsome almshouses on one side and parklike grounds on the other to the principal street, where we noticed the market, and a fine bit of very old building now used as the Station House (Police). We made our way to the Cathedral which stands in a fine open space with tall trees round it. The two square towers individualize it among Cathedrals. We had a peep through the open door which gave me the idea of a grand interior. Back
again to the station and away by the train to Barnstaple, the country through which we passed charmingly undulated and wooded. At Barnstaple we got into the Ilfracombe coach- or rather I got in and G got outside, making on our way the acquaintance ofa family named Webster, who have since taken part of the same house with us here- Runnymeade Villa."
Diary 1954-1861,1856-05-10,60,85,N/A,"Saturday 10. We are enchanted with Ilfracombe. Today we have explored some of the rocks and have found some Actiniæ as a small beginning for our Vivarium. My head not yet well, so I have given myself up to enjoyment of the first day's exploits in rock-climbing."
Diary 1954-1861,1856-05-11,60,85,N/A,"Sunday 11. We have walked up several hills today and had exquisite views of the bays and distant promontories rising one behind the other. This morning I read
Riehl and made a few notes for a couple of hours."
Diary 1954-1861,1856-05-12,60,85,N/A,Monday 12. We had a glorious hunt this afternoon on the rocks and found two specimens of the Anthea Cereus and a red and blue spotted anemone- treasures to us.
Diary 1954-1861,1856-05-13,60,85,N/A,Tuesday 13. Began my article on Riehl this morning with rather despairing prospects. Some books came from Mr. Chapman.
Diary 1954-1861,1856-05-14,60,85,N/A,"Wednesday 14. Went to Hele's who collects Zoophytes etc and supplies Lloyd in London. Saw some splendid anemones, beyond anything I had imagined of that kind, some Eolids and Corallines. We were pleased with his nice daughter, who seems to take a real interest in the animals quite apart from commercial considerations."
Diary 1954-1861,1856-05-[15],60,85,N/A,"Thursday. G. called on Mr. Tugwell, the curate here, whom he found a charming young man, the author of various books - a Guide to North Devon etc."
Diary 1954-1861,1856-05-15,60-61,85-86,N/A,"Thursday 15. Mr Tugwell returned the call. In the afternoon we walked to Lee, a delicious spot in a deep hollow between two magnificent hills. The steep sides ofone of these hills are hung with low woods, or with masses of furze now in full bloom. The primroses here quite cover the sides of some of the hills as well as the banks of the lanes. Not the least beautiful things we saw were the springs by the roadside, crystally clear, decked with liverwort and fern. We returned by a different way- through Slade, which we were told was only half a mile longer, but we found ourselves in an interminable road over the hills , and at length came to a spot where two directions seemed equally promising or unpromising of Ilfracomb. We took one, however, in the necessity of a choice and walked on and on without seeing any indication of our being in the right direction , till at last we came to a farm-house, where G. made inquiries and found that we were in the right road, but had still two miles to walk. We got home a little before six, after walking three hours and a half, and were thoroughly knocked up. In the last mile we passed a lovely hill where the rich colour of the marly soil made a beautiful contrast with the bright green pastures and the masses of furze. - In the evenings I have been reading Masson's Essays - ""The Three Devils"" and chatterton's Life-and this evening I have read some of Trench's Calderon."
Diary 1954-1861,1856-05-20,61,86,N/A,"Tuesday 20. After writing an hour, we went out with Mr. Tugwell zoologizing, and thanks to his aid and exertions brought home a rich store of Actinia Crassicornis and other precious but less conspicuous things."
Diary 1954-1861,1856-05-24,61,86,N/A,Saturday 24. My article on Riehl is rather more than half done. I have had a letter from Chrissey today telling me that Charlie is elected for the Medical College.
Diary 1954-1861,1856-06-05,61,86,N/A,"June 5. Finished my article on Riehl, and sent it to London. Had a delicious walk to Chambercombe Woods."
Diary 1954-1861,1856-06-06,61,86,N/A,"Friday. 6. Walked to Lee, Miss Webster with us. The day was glorious. Wrote to Mr.Bray."
Diary 1954-1861,1856-06-07,61,86,N/A,"Sat. 7. We went out zoologizing on the rocks opposite the Tunnel this
afternoon. Letter came from Parker accepting the proposition about the History of Philosophy. Letter to me from Mrs. Peter Taylor. Wrote notice of Masson's Essays."
Diary 1954-1861,1856-06-[08],61,86,N/A,Sunday. Wrote to Mrs. Taylor. Letter from Mr. Chapman saying he likes the article on Riehl.
Diary 1954-1861,1856-06-[10],61,86,N/A,"Tuesday. Terrible headache came on. We walked to Watermouth in bright
sunshine."
Diary 1954-1861,1856-06-[11],61,86,N/A,Wednesday. Headache which prevented me from working all day.
Diary 1954-1861,1856-06-[12],61,86,N/A,"Thursday. Not well, but went to work. Proof of my article."
Diary 1954-1861,1856-06-17,61,86,N/A,Tuesday 17. Sent off my article on Belles Lettres.
Diary 1954-1861,1856-06-26,61,86,N/A,"Thursday 26. Set of fby steamer from dear Ilfracombe to Tenby, where we
arrived too late to secure lodgings the same evening."
Diary 1954-1861,1856-06-27,61,86,N/A,"Friday 27. Took our lodgings and unpacked. I was quite knocked up by my yesterday's journey, and the exertions of this morning. The weather bright, and the air perfect."
Diary 1954-1861,1856-06-28,61,86,N/A,"Saturday 28. We had a glorious hunt this morning in the caverns of St.
Catherine's Rock. Found some specimens of the Alcyonium Digitatum, the Clavellina and the Stag's Horn Polype as well as abundance of Laomedea: and Actiniæ."
Diary 1954-1861,1856-06-29,61,86,N/A,"Sunday 29. Wrote to Sara Rennell, Barbara Smith and Mrs. Croft. In the
afternoon we had a delicious walk in the sunshine towards Gilbar Point , and saw for the first time a Lop hi us, or Fishing Frog. It was about three feet long and had been cast dead upon the sands. Presently after we saw a Rhizostoma nearly a foot in diameter, also cast on the sands."
Diary 1954-1861,1856-06-30,62,87,N/A,"30. We went hunting this morning in the cove on the north side of St.
Catherine's, and found some polypes and sea weed, with which we were not familiar. We were both terribly tired and so did not attempt any long walk. I am reading in the evenings the Memoirs ofBeaumarchais and Milne
Edwards's Zoology. G. has begun to read Coriolanus aloud."
Diary 1954-1861,1856-07-05,62,87,N/A,"Sat. July 5. We have hunted two or three times in St. Catherine's caverns this week, and have found in addition to former spoils, a solitary Ascidian, two Eolids, and a specimen of Cellularia Avicularia, in which the Birds' heads were very active while the rest of the Polype appeared dead. The weather has been delicious every day, but G. having hurt his foot, we have not been able to take long walks. I have continued reading Milne Edwards aloud, and have also read
Harriet Martineau's article on Missions in the Westminster, and one or two articles in the National. Reading to myselfHarvey's Sea-side Book, and ""The Lovers' Seat""."
Diary 1954-1861,1856-07-06,62,87,N/A,"Sunday. July 6. The sun shines beautifully this morning, but we are rather depressed because G.'s head seems worse."
Diary 1954-1861,1856-07-20,62,87,N/A,"Sunday. July 20. Since I made the last note in my journal, I have had the comfort of seeing G. much better. The fortnight has slipped away without my being able to show much result from it. I have written a review of the ""Lover's Seat"" for the ""Leader"", and jotted down some recollections of llfracombe; besides these trifles and the introduction to an article already written, I have done no visible work. But I have absorbed many ideas and much bodily strength; indeed, I do not remember ever feeling so strong in mind and body as I feel at this moment. 

On Saturday, the 12th, Barbara Smith arrived and staid here till Wednesday
morning. We enjoyed her society ':ery much, but were deeply touched to see that three years had made her so much older and sadder. Her activity for great objects is admirable, and contact with her is a fresh inspiration to work while it is day. On Tuesday evening she came to tell us ofher interview with her ""Aunt Patty"" - a scene beyond the conception of Moliere. We parted from her at the door of the ""Co burg"" at about 1/2 past 11.

In the meantime G. has been very industrious and has written a sea-side
article for Blackwood, which was sent off yesterday. I have been reading aloud the Memoirs ofBeaumarchais which yielded me little fruit, continued Milne Edwards, and have now taken up Quatrefageasg ain. 

Mr. Chapman invites me to contribute to the Westminster for this quarter.
I am anxious to begin my fiction writing and so am not inclined to undertake an article that will give me much trouble, but at all events I will finish my article on Young."
Diary 1954-1861,1856-07-21,62,87,N/A,"Monday 21. We had a delightful walk on the North Sands and hunted with success. A sunny, happy day."
Diary 1954-1861,1856-07-28,62-63,87-88,N/A,"Monday 28. Mr. Pigott arrived at last, after various processes of expectation and disappointment. We drove to Lidstep in the afternoon. Yesterday I had a letter from Chrissey, which I answered today. I have engaged to write an article for the next w. R. on ""Silly Women's Novels""."
Diary 1954-1861,1856-08-02,63,88,N/A,"Sat. Aug. 2. Last evening we saw Mr. Pigott's Yacht sail in and cast anchor, and this morning we went on board. This evening G. and I have been out in a boat for an hour, and have caught about 20 Medusa:. The western light on the rippled water as we went out was glorious, and on our return we saw the lovely green phosphorescence about the net and the oars."
Diary 1954-1861,1856-08-03,63,88,N/A,"Sunday. 3. I went out to the Castle Hill after breakfast this morning, and the Yacht was gone. So we are once more quiet and alone."
Diary 1954-1861,1856-08-[04],63,88,N/A,"Monday. Finished article on Meissner's recollections of Heine. Received a kind letter from Mr. Bray, in which he thanks me for my article on German Life."
Diary 1954-1861,1856-08-05,63,88,N/A,Tuesday 5. Wrote an article on Mrs. Chanter's Ferny Combes.
Diary 1954-1861,1856-08-08,63,88,N/A,"Friday 8. Went by Steamer to Bristol, and from thence by railway to Bath, where we slept."
Diary 1954-1861,1856-08-09,63,88,N/A,"Saturday 9. Arrived at Richmond about 1/2 past 1 with terrible headache. Unpacked nevertheless, and enjoyed the sense of being ""at home"" again."
Diary 1954-1861,1856-08-18,63,88,N/A,"Monday 18. Wrote article on Felice Orsini. Walked in Kew Park, and talked with G. of my novel. Finished Cesar Birotteau aloud."
Diary 1954-1861,1856-08-25,63,88,N/A,Monday 25. G. set off for Hofwyl today.
Diary 1954-1861,1856-08-[26],63,88,N/A,"Tuesday. Seized with terrible toothache which continued until Saturday, when I took chloroform and had the offender extracted. No work done all this week in consequence!"
Diary 1954-1861,1856-09-04,63,88,N/A,Thursday Sep. 4. G. returned. My article nearly half done.
Diary 1954-1861,1856-09-12,63,88,N/A,"Friday 12. Sent off my article on ""Silly Novels"", according to promise, but finished it under much discomfort from headache."
Diary 1954-1861,1856-09-19,63,88,N/A,Friday 19. Sent off my article on Belles Lettres for W.R. Terrible cold in my head.
Diary 1954-1861,1856-09-20,63,88,N/A,Sat. 20. This evening we went to see Dillon in Belphegor at the Lyceum. Came home with a distracting headache.
Diary 1954-1861,1856-09-[22],63,88,N/A,Monday. Better this morning. Began the Ajax of Sophocles. Also Miss Martineau's History of the Peace.
Diary 1954-1861,1856-09-[23],63,88,N/A,"Tuesday, Sep. 22 [23]. Began to write ""The Sad Fortunes of the Reverend Amos Barton"", which I hope to make one of a series called ""Scenes of Clerical Life""."
Diary 1954-1861,1856-09-[24],63,88,N/A,Wednesday. We went into the city and bought a microscope.
